target,perturbation,on_buscar_scores,off_buscar_scores,is_reference_distance,iteration
healthy_DMSO,healthy_drug_x,0.8967240040094935,0.6346153846153846,false,38
healthy_DMSO,failing_TGFRi,0.9104533480965291,0.4423076923076923,false,38
healthy_DMSO,failing_DMSO,1.0,0.0,true,38
healthy_DMSO,healthy_TGFRi,0.6798484570902265,0.09615384615384616,false,38
healthy_DMSO,healthy_drug_x,0.900077451896161,0.660377358490566,false,39
healthy_DMSO,failing_DMSO,1.0,0.0,true,39
healthy_DMSO,healthy_TGFRi,0.6830216229303328,0.20754716981132076,false,39
healthy_DMSO,failing_drug_x,0.9346017358599493,0.6226415094339622,false,39
healthy_DMSO,failing_TGFRi,0.9123635687154795,0.4716981132075472,false,39
healthy_DMSO,failing_DMSO,1.0,0.0,true,40
healthy_DMSO,healthy_drug_x,0.8990560851497086,0.6923076923076923,false,40
healthy_DMSO,healthy_TGFRi,0.6815305185129574,0.15384615384615385,false,40
healthy_DMSO,failing_drug_x,0.9340587561577375,0.6538461538461539,false,40
healthy_DMSO,failing_TGFRi,0.9115879091916512,0.38461538461538464,false,40
healthy_DMSO,failing_drug_x,0.9202161915520762,0.6507936507936508,false,41
healthy_DMSO,healthy_TGFRi,0.6666578051853743,0.15873015873015872,false,41
healthy_DMSO,failing_DMSO,1.0,0.0,true,41
healthy_DMSO,failing_TGFRi,0.8953592301794737,0.49206349206349204,false,41
healthy_DMSO,healthy_drug_x,0.8844025573330406,0.6666666666666666,false,41
healthy_DMSO,failing_drug_x,0.9199810818992596,0.639344262295082,false,42
healthy_DMSO,failing_DMSO,1.0,0.0,true,42
healthy_DMSO,healthy_drug_x,0.885353804622844,0.7049180327868853,false,42
healthy_DMSO,failing_TGFRi,0.8966834557763718,0.4918032786885246,false,42
healthy_DMSO,healthy_TGFRi,0.6682892549230144,0.19672131147540983,false,42
healthy_DMSO,healthy_drug_x,0.8972624372376744,0.7,false,43
healthy_DMSO,failing_TGFRi,0.9103752788151218,0.48333333333333334,false,43
healthy_DMSO,healthy_TGFRi,0.6772038949847491,0.21666666666666667,false,43
healthy_DMSO,failing_drug_x,0.9331968987111784,0.65,false,43
healthy_DMSO,failing_DMSO,1.0,0.0,true,43
healthy_DMSO,failing_DMSO,1.0,0.0,true,44
healthy_DMSO,failing_TGFRi,0.8874484754111028,0.42857142857142855,false,44
healthy_DMSO,healthy_drug_x,0.8762066322411064,0.6607142857142857,false,44
healthy_DMSO,failing_drug_x,0.9112978225352187,0.625,false,44
healthy_DMSO,healthy_TGFRi,0.663446982657286,0.16071428571428573,false,44
healthy_DMSO,healthy_drug_x,0.8898076262033938,0.7,false,45
healthy_DMSO,failing_drug_x,0.9245236406037699,0.66,false,45
healthy_DMSO,healthy_TGFRi,0.6762588010902225,0.24,false,45
healthy_DMSO,failing_DMSO,1.0,0.0,true,45
healthy_DMSO,failing_TGFRi,0.9028799722291008,0.48,false,45
healthy_DMSO,healthy_TGFRi,0.6785914913325491,0.13725490196078433,false,46
healthy_DMSO,failing_drug_x,0.9303621659335135,0.6470588235294118,false,46
healthy_DMSO,failing_TGFRi,0.9081679004074814,0.43137254901960786,false,46
healthy_DMSO,healthy_drug_x,0.8945963755954257,0.6470588235294118,false,46
healthy_DMSO,failing_DMSO,1.0,0.0,true,46
healthy_DMSO,healthy_TGFRi,0.670202344773415,0.15,false,47
healthy_DMSO,healthy_drug_x,0.8858240150462643,0.6666666666666666,false,47
healthy_DMSO,failing_TGFRi,0.8984481615205594,0.4666666666666667,false,47
healthy_DMSO,failing_DMSO,1.0,0.0,true,47
healthy_DMSO,failing_drug_x,0.9227489953702689,0.6166666666666667,false,47
healthy_DMSO,healthy_drug_x,0.8963943525511505,0.7037037037037037,false,48
healthy_DMSO,failing_TGFRi,0.910534995240588,0.42592592592592593,false,48
healthy_DMSO,failing_drug_x,0.9333447396012635,0.6296296296296297,false,48
healthy_DMSO,healthy_TGFRi,0.6807405922227953,0.2222222222222222,false,48
healthy_DMSO,failing_DMSO,1.0,0.0,true,48
healthy_DMSO,failing_TGFRi,0.9034954750457892,0.46,false,49
healthy_DMSO,failing_drug_x,0.9274475931573698,0.62,false,49
healthy_DMSO,failing_DMSO,1.0,0.0,true,49
healthy_DMSO,healthy_drug_x,0.8895453242517933,0.68,false,49
healthy_DMSO,healthy_TGFRi,0.6752517613146195,0.2,false,49
