feature,p_value,ks_stat,p_value_fdr_corrected,neg_log10_p_value,signature,compartment,channel
Cytoplasm_Intensity_MADIntensity_Hoechst,1.2477071604673367e-141,0.36463262651085765,8.910256569859133e-141,140.05010979032116,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_MADIntensity_Mitochondria,3.3726669952278075e-206,0.43733127046809095,3.7556647726519824e-205,204.425313179421,on,Cytoplasm,Mitochondria
Cytoplasm_Intensity_MADIntensity_PM,3.313484568000637e-126,0.34466333594550685,1.9972104230976318e-125,124.69957617610281,on,Cytoplasm,PM
Cytoplasm_Intensity_MassDisplacement_Actin,0.018207356998883227,0.04429905531457335,0.019546133248801112,1.7089391449076972,on,Cytoplasm,Actin
Cytoplasm_Intensity_MassDisplacement_ER,1.0301529452092033e-10,0.09958035664726173,1.427870221524149e-10,9.845311263594308,on,Cytoplasm,ER
Cytoplasm_Intensity_MassDisplacement_Hoechst,3.5535772236194215e-9,0.09183853344613828,4.735700275695659e-9,8.32461579208129,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_MassDisplacement_Mitochondria,1.138083380388094e-24,0.15274656526378713,2.0655270191021487e-24,23.68496911965606,on,Cytoplasm,Mitochondria
Cytoplasm_Intensity_MassDisplacement_PM,0.14096589249388386,0.03324346688690184,0.14677431278681727,0.8333499443592024,off,Cytoplasm,PM
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst,5.627e-321,0.5813971976961045,1.46965e-319,318.8327867695125,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_MaxIntensity_Actin,2.08e-322,0.9131936996230824,2.272e-320,319.64355193354174,on,Cytoplasm,Actin
Cytoplasm_Intensity_MaxIntensity_ER,1.5358414622441557e-91,0.294335406596082,6.386378738572218e-91,90.19474532958068,on,Cytoplasm,ER
Cytoplasm_Intensity_MaxIntensity_Hoechst,6.36e-321,0.5593717602770152,1.46965e-319,318.8327867695125,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_MaxIntensity_Mitochondria,1.5066526426202603e-125,0.3437852265512639,8.838132019656348e-125,124.05363951544851,on,Cytoplasm,Mitochondria
Cytoplasm_Intensity_MaxIntensity_PM,2.4475502551048237e-12,0.10714798162808632,3.5110054969516797e-12,11.454568490587649,on,Cytoplasm,PM
Cytoplasm_Intensity_StdIntensityEdge_Hoechst,3.5287139631494946e-135,0.35643043372477545,2.365678646723692e-134,133.62604425017014,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_StdIntensity_Hoechst,1.3780646500275657e-70,0.2587971300963177,4.395089684796654e-70,69.35703225842526,on,Cytoplasm,Hoechst
Cytoplasm_Intensity_UpperQuartileIntensity_Hoechst,1.0208202686523195e-130,0.35063638336981257,6.387418252424513e-130,129.1946746450174,on,Cytoplasm,Hoechst
Cytoplasm_Location_MaxIntensity_Y_PM,0.0008765543940341835,0.0568640417282319,0.0009895124345025061,3.004578743951882,on,Cytoplasm,PM
Cytoplasm_RadialDistribution_FracAtD_Actin_1of4,6.594021058522541e-26,0.1565800458418053,1.2342654801849885e-25,24.90859141714326,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_FracAtD_Actin_3of4,6.155709474609308e-32,0.17403969831875524,1.2444003460979433e-31,30.905039876775476,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_FracAtD_Actin_4of4,1.4829135376394252e-31,0.1729881905123875,2.970348153137507e-31,30.527192644243378,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_FracAtD_ER_3of4,1.2675528219048925e-9,0.09415869697811677,1.72062438841222e-9,8.76431392563048,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_FracAtD_ER_4of4,9.037813791883074e-8,0.08413894011660243,1.159735090091246e-7,6.935641202195899,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_FracAtD_Hoechst_1of4,2.38649724948386e-37,0.18830723639242364,5.191816863943364e-37,36.28468063523341,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_FracAtD_Hoechst_2of4,1.3379658727195935e-41,0.19877848496816525,3.1171758098467127e-41,40.506238702666025,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_FracAtD_Hoechst_3of4,1.1746035409880391e-52,0.22366355653260123,3.149855209914864e-52,51.50170940906126,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_FracAtD_Hoechst_4of4,1.1487457907593154e-53,0.2257943254889747,3.157849307652177e-53,52.50060859833552,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_1of4,8.241169259224221e-9,0.08990083818297019,1.0872385950422317e-8,7.963675139317906,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_2of4,1.2022048910948127e-9,0.09427610881806107,1.6352973363339379e-9,8.786403270655816,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_3of4,7.229734600110762e-20,0.13682966277368036,1.1786440774870397e-19,18.928617321724275,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_4of4,5.319525585818117e-15,0.11850669735370668,7.997547619868428e-15,14.097043165312686,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_FracAtD_PM_2of4,6.054725911438307e-11,0.1006908103160538,8.445764169458529e-11,10.073361049519296,on,Cytoplasm,PM
Cytoplasm_RadialDistribution_MeanFrac_Actin_1of4,6.648281635904843e-17,0.12599346172813913,1.0350523779121996e-16,15.985037672561964,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_MeanFrac_Actin_2of4,8.109666964090711e-23,0.14681390815226875,1.3984386339652485e-22,21.85435658650733,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_MeanFrac_Actin_3of4,3.471650124921325e-21,0.1413807312454181,5.789020639779977e-21,20.237394902026463,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_MeanFrac_Actin_4of4,1.0466337085616742e-22,0.14645191497271295,1.8001003835733508e-22,21.744703275554258,on,Cytoplasm,Actin
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4,0.00012191362949649869,0.06371927756846797,0.000142521805301067,3.8461186851469695,on,Cytoplasm,ER
Cytoplasm_RadialDistribution_MeanFrac_ER_4of4,0.07878160567302887,0.03672655150388731,0.08268293119357824,1.0825841355929888,off,Cytoplasm,ER
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_1of4,1.9121344039369715e-14,0.1162292435782202,2.8358291272834994e-14,13.54731994108896,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_2of4,3.796236995762283e-18,0.13065074472538507,6.009946280038119e-18,17.221129409925258,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_3of4,3.624473771988453e-22,0.14467330155535496,6.1851409563543205e-22,21.208650398562053,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_4of4,0.00005187193825156301,0.06646973789806253,0.00006162723947789674,4.210227285561023,on,Cytoplasm,Hoechst
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_1of4,4.3594621911068607e-10,0.09650141510060227,5.979471105547405e-10,9.22333722840297,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_2of4,3.809174260654746e-9,0.09167993148523258,5.055813109596299e-9,8.296208988319655,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_3of4,1.1352207213406288e-8,0.08915189780882952,1.4857370795234923e-8,7.828058037826306,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_4of4,0.0003045004774172464,0.06063473736459048,0.00034913929086061233,3.4570012745207737,on,Cytoplasm,Mitochondria
Cytoplasm_RadialDistribution_MeanFrac_PM_2of4,0.12131193689933419,0.03417652310269905,0.12691392124659645,0.896490737330228,off,Cytoplasm,PM
Cytoplasm_RadialDistribution_MeanFrac_PM_3of4,0.2018878230707728,0.03089523008801569,0.20888236182283107,0.6800982306105053,off,Cytoplasm,PM
Cytoplasm_RadialDistribution_MeanFrac_PM_4of4,0.40824019033163517,0.025627213569097588,0.4171287792346568,0.37972984556143113,off,Cytoplasm,PM
